BatteryLevel,CPUCycles,Checkpoint
42.13,616076,true
41.57,617079,true
42.18,618082,true
41.52,619085,true
41.45,620088,true
40.25,621091,true
40.40,622094,true
38.71,623097,true
52.61,624100,true
51.67,625103,true
57.02,626106,true
57.06,627107,true
50.87,628108,true
42.29,629109,true
41.71,630110,true
40.99,631111,true
39.34,632112,true
38.50,633113,true
36.78,634115,true
42.68,635116,true
41.49,636118,true
39.45,637119,true
38.61,638120,true
54.40,639121,true
53.20,640124,true
53.59,641125,true
55.98,642126,true
56.15,643127,true
54.38,644128,true
62.48,645129,true
62.13,646130,true
60.79,647131,true
59.78,648132,true
59.15,649133,true
59.60,650134,true
59.12,651136,true
58.33,652138,true
56.93,653139,true
48.98,654140,true
48.36,655142,true
46.73,656143,true
46.37,657144,true
44.73,658145,true
47.97,659146,true
46.97,660147,true
45.82,661149,true
45.17,662150,true
45.04,663151,true
36.16,664152,true
34.84,665157,true
35.37,666158,true
34.82,667159,true
37.02,668160,true
37.48,669163,true
37.07,670164,true
44.76,671165,true
43.15,672166,true
43.57,673167,true
36.88,674168,true
46.50,675170,true
45.92,676171,true
44.52,677172,true
42.95,678173,true
41.88,679174,true
40.49,680176,true
34.05,681177,true
33.83,682178,true
32.42,683180,true
48.46,684181,true
47.11,685182,true
46.29,686183,true
46.25,687184,true
36.85,688185,true
35.27,689186,true
35.38,690187,true
33.75,691188,true
37.15,692193,true
26.05,693194,true
24.85,694195,true
24.63,695196,true
35.70,696199,true
35.27,697200,true
34.87,698201,true
47.53,699202,true
40.84,700204,true
40.23,701205,true
38.55,702206,true
47.85,703207,true
46.05,704208,true
44.18,705209,true
42.17,706210,true
41.10,707213,true
49.96,708214,true
58.89,709215,true
56.44,710217,true
55.97,711218,true
57.44,712219,true
57.16,713220,true
55.53,714221,true
54.96,715222,true
53.08,716223,true
53.23,717224,true
53.03,718225,true
57.42,719227,true
56.59,720229,true
54.84,721230,true
54.84,722231,true
59.52,723233,true
58.29,724234,true
57.88,725235,true
56.65,726236,true
64.20,727237,true
63.54,728239,true
63.56,729240,true
61.36,730241,true
60.10,731245,true
58.31,732246,true
56.42,733247,true
56.01,734248,true
54.90,735249,true
53.45,736250,true
59.41,737253,true
57.81,738254,true
59.70,739255,true
58.83,740256,true
63.82,741257,true
72.37,742258,true
73.10,743259,true
78.91,744260,true
78.03,745261,true
76.83,746262,true
76.32,747263,true
76.34,748264,true
74.10,749265,true
73.38,750266,true
74.10,751267,true
71.47,752268,true
80.00,753269,true
72.57,754270,true
71.64,755272,true
71.11,756275,true
70.93,757276,true
70.17,758277,true
69.89,759278,true
69.79,760283,true
58.50,761284,true
57.12,762285,true
57.23,763286,true
65.47,764289,true
64.60,765290,true
62.97,766291,true
62.53,767292,true
61.82,768293,true
60.80,769294,true
60.53,770295,true
61.23,771296,true
60.56,772297,true
66.17,773298,true
64.57,774299,true
63.97,775303,true
62.37,776305,true
60.87,777307,true
65.08,778308,true
64.14,779311,true
70.08,780314,true
69.61,781317,true
67.34,782320,true
65.50,783323,true
64.84,784326,true
64.53,785329,true
63.34,786332,true
62.50,787335,true
55.07,788338,true
44.76,789341,true
48.79,790344,true
47.50,791347,true
47.37,792350,true
44.73,793353,true
44.37,794354,true
42.73,795355,true
41.81,796358,true
41.65,797360,true
42.09,798361,true
40.37,799363,true
40.53,800365,true
38.59,801366,true
55.62,802368,true
54.19,803370,true
53.14,804371,true
53.16,805373,true
54.00,806375,true
54.22,807376,true
53.01,808377,true
52.33,809379,true
52.11,810381,true
58.54,811383,true
57.88,812385,true
51.11,813386,true
50.11,814389,true
49.10,815392,true
50.97,816393,true
48.67,817394,true
56.67,818397,true
62.01,819398,true
60.72,820399,true
60.43,821401,true
58.99,822403,true
58.73,823405,true
66.72,824407,true
66.63,825409,true
65.57,826411,true
64.00,827413,true
64.37,828416,true
64.11,829417,true
62.68,830418,true
61.51,831419,true
60.01,832422,true
60.47,833425,true
67.99,834426,true
66.94,835429,true
66.14,836432,true
66.45,837433,true
54.75,838436,true
44.77,839439,true
36.55,840440,true
53.85,841443,true
52.83,842446,true
51.38,843447,true
50.79,844450,true
49.38,845453,true
47.36,846454,true
45.50,847457,true
38.23,848460,true
36.81,849461,true
35.45,850464,true
53.10,851467,true
51.59,852468,true
50.23,853471,true
49.68,854474,true
49.26,855475,true
47.49,856478,true
47.08,857481,true
45.93,858482,true
45.12,859485,true
38.21,860486,true
36.73,861487,true
38.66,862489,true
50.55,863490,true
49.99,864492,true
49.17,865494,true
46.73,866495,true
45.45,867497,true
44.25,868499,true
43.76,869500,true
42.30,870503,true
41.48,871505,true
39.42,872507,true
38.27,873510,true
43.06,874514,true
42.57,875516,true
40.70,876517,true
39.74,877518,true
36.89,878519,true
35.94,879521,true
40.30,880522,true
39.11,881523,true
50.86,882524,true
50.80,883525,true
49.07,884526,true
49.56,885527,true
48.42,886528,true
47.85,887529,true
48.40,888534,true
47.92,889535,true
46.62,890536,true
44.81,891537,true
43.05,892540,true
42.18,893541,true
45.47,894542,true
44.85,895543,true
45.43,896544,true
44.13,897547,true
49.64,898548,true
47.97,899549,true
47.01,900550,true
51.83,901551,true
50.61,902554,true
49.64,903555,true
48.82,904556,true
48.64,905557,true
47.66,906558,true
47.48,907559,true
47.55,908560,true
47.32,909561,true
44.85,910562,true
43.64,911563,true
42.38,912564,true
41.71,913565,true
40.83,914566,true
40.21,915567,true
47.47,916568,true
38.98,917573,true
38.02,918574,true
32.31,919575,true
31.93,920576,true
31.28,921578,true
36.63,922579,true
36.15,923581,true
34.40,924582,true
33.28,925583,true
44.57,926584,true
43.09,927585,true
34.23,928586,true
33.73,929587,true
32.35,930588,true
45.99,931589,true
44.55,932590,true
43.15,933592,true
41.60,934595,true
40.09,935596,true
37.77,936597,true
43.07,937599,true
42.17,938600,true
42.44,939601,true
41.48,940602,true
41.54,941603,true
30.72,942604,true
29.99,943605,true
29.91,944606,true
39.95,945607,true
38.88,946609,true
45.67,947610,true
44.09,948611,true
43.70,949612,true
